index,NCT,Sponsor,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
0,NCT00003305,Sanofi,1997,7,Phase 2,75,Completed,Leukemia
1,NCT00003821,Sanofi,1998,1,Phase 2,0,Withdrawn,Endometrial Neoplasms
2,NCT00004025,Sanofi,1999,3,Phase 1/Phase 2,36,Unknown status,Melanoma
3,NCT00005645,Sanofi,1999,5,Phase 2,0,Withdrawn,Ovarian Neoplasms
4,NCT00008281,Sanofi,2000,10,Phase 3,0,Unknown status,Colorectal Neoplasms
5,NCT00010309,Sanofi,2000,11,Phase 1/Phase 2,0,Unknown status,Melanoma
6,NCT00012389,Sanofi,2000,12,Phase 3,0,Completed,Colorectal Neoplasms
7,NCT00017459,Sanofi,2000,7,Phase 3,0,Completed,"Carcinoma, Non-Small-Cell Lung"
8,NCT00021255,Sanofi,2001,4,Phase 3,3222,Completed,Breast Neoplasms
9,NCT00025896,Sanofi,2001,5,Phase 2,8,Completed,Glycogen Storage Disease Type II
10,NCT00029822,Sanofi,2001,5,Phase 3,1522,Completed,Urinary Retention
11,NCT00029835,Sanofi,2001,9,Phase 3,1033,Completed,Dyslipidemias
12,NCT00029848,Sanofi,2001,10,Phase 3,1045,Completed,Obesity
13,NCT00029861,Sanofi,2001,8,Phase 3,3045,Completed,Weight Loss
14,NCT00032734,Sanofi,2001,6,Phase 2,35,Completed,Hyponatremia
15,NCT00032747,Sanofi,2001,8,Phase 2,338,Completed,Heart Failure
16,NCT00034294,Sanofi,2002,2,Phase 2,300,Completed,Diarrhea
17,NCT00034918,Sanofi,2002,5,Phase 2,44,Completed,Breast Neoplasms
18,NCT00042341,Sanofi,2002,5,Phase 2,60,Completed,Leukemia
19,NCT00042354,Sanofi,2002,5,Phase 2,40,Completed,Leukemia
20,NCT00043784,Sanofi,2001,8,Phase 3,8000,Completed,Myocardial Infarction
21,NCT00044447,Sanofi,2001,5,Phase 3,170,Completed,Diabetes Mellitus
22,NCT00044811,Sanofi,2002,3,Phase 3,1000,Completed,Asthma
23,NCT00044824,Sanofi,2002,2,Phase 3,1000,Completed,Asthma
24,NCT00044889,Sanofi,2002,5,Phase 2,40,Completed,Leukemia
25,NCT00045955,Sanofi,2002,2,Phase 3,1200,Completed,Asthma
26,NCT00046150,Sanofi,2002,5,Phase 3,59,Completed,"Diabetes Mellitus, Type 1"
27,NCT00046462,Sanofi,2001,11,Phase 3,240,Completed,Diabetes Mellitus
28,NCT00046501,Sanofi,2002,11,Phase 3,250,Completed,Diabetes Mellitus
29,NCT00046683,Sanofi,2001,7,Phase 3,284,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell"
30,NCT00047788,Sanofi,2002,10,Phase 2,30,Completed,Multiple Myeloma
31,NCT00047840,Sanofi,2002,10,Phase 2,129,Completed,"Carcinoma, Non-Small-Cell Lung"
32,NCT00050323,Sanofi,2002,11,Phase 1/Phase 2,30,Completed,"Carcinoma, Renal Cell"
33,NCT00050778,Sanofi,2002,12,Phase 2,334,Completed,"Multiple Sclerosis, Relapsing-Remitting"
34,NCT00050817,Sanofi,2002,10,Phase 3,15603,Completed,Arteriosclerosis
35,NCT00051701,Sanofi,2002,12,Phase 1/Phase 2,61,Terminated,"Lymphoma, Non-Hodgkin"
36,NCT00051935,Sanofi,2003,1,Phase 2,2,Completed,Glycogen Storage Disease Type II
